,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2029,2,0,0,3,0,0,2,0,0,6,0,1,0,9,3,0,0,5,4,1,0,7,6,7,4,4,3,10,13
749,5,2,2,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2617,2,2,3,1,9,1,1,4,8,0,0,2,8,0,3,0,0,0,0,0,1,0,1,3,1,0,1,0,6
27960,2,2,0,0,1,0,0,6,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28537,6,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
32659,2,4,3,1,2,0,1,8,5,3,4,1,4,0,1,0,1,4,0,0,2,0,0,4,4,0,0,0,0
45130,3,6,0,0,0,0,2,0,5,3,3,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
762,1,4,0,1,4,3,2,0,5,0,1,1,0,0,0,0,0,3,0,0,0,5,2,0,1,0,0,0,0
20512,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,1,0,0,3,3,0,0,5,4,12,18,16,13,24,15,19,17,27,40,16,29,38,27,25,22,22,23,14,21
908,4,0,4,0,1,1,4,1,0,8,0,6,3,0,1,0,0,0,1,2,3,0,1,2,4,7,1,0,1
926,4,0,0,0,0,0,1,4,0,3,1,0,2,1,0,2,0,0,0,0,0,3,0,0,0,1,3,0,0
1164,2,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1185,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0
1330,2,0,0,1,1,0,0,3,1,5,1,6,7,2,7,3,1,4,8,19,13,11,20,1,5,10,5,14,7
1481,1,0,0,0,3,2,7,3,6,10,24,9,21,6,19,28,18,13,16,10,22,14,19,24,39,14,20,23,17
1501,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,11,0,0,0,9,0,1,1,0,7,6,1,8,0
1683,3,0,3,1,4,1,1,3,0,1,3,3,9,4,5,5,9,13,6,15,8,11,5,0,4,0,6,6,4
1812,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1829,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
1839,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,4
1850,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0
1949,1,0,3,0,0,2,1,0,3,1,0,0,0,1,0,0,0,0,2,0,1,7,0,0,4,0,0,3,4
2131,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,1,2,2,0,1,3,3,3,3,2,4,2,6,3,9,2,4,6,5,8,1,0,3,0,0,0,0,0,0
3073,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0
3204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2
